number_of_rooms,floor,area,address,date,price
6,4,95.0,101 мкр,12.02.2022 19:17,990000
3,14,109.0,Кохи Борбад,12.02.2022 19:12,550000
1,4,60.0,Шохмансур,12.02.2022 19:06,420000
3,10,92.0,Зарафшон,12.02.2022 18:53,550000
2,5,60.0,Фирдавси,12.02.2022 18:21,465000
2,6,71.0,Н.Сино,12.02.2022 18:08,270000
2,9,88.0,Шохмансур,12.02.2022 17:37,812500
2,12,72.0,Шозмансур,12.02.2022 16:16,445000
1,3,40.0,Корвон,12.02.2022 16:14,200000
4,1,90.0,Фирдавси,12.02.2022 16:03,744414
2,2,110.0,Исмойли Сомони,12.02.2022 15:40,1596000
2,10,67.0,И. Сомони,12.02.2022 15:37,755000
1,1,30.0,Мехкалон,12.02.2022 15:30,280000
2,10,64.0,Исмоили Сомони,12.02.2022 15:26,457000
1,3,42.0,Сино,12.02.2022 15:17,300000
1,13,40.0,Зарафшон,12.02.2022 14:55,125000
4,2,80.0,Автовокзал,12.02.2022 14:50,720000
2,14,60.0,Испечак2,12.02.2022 14:46,430000
3,1,62.0,маяковский,12.02.2022 14:43,400000
3,1,50,,12.02.2022 14:38,450000
2,10,80.0,Профсоюз,12.02.2022 14:31,350000
2,3,39.0,Сино,12.02.2022 14:26,461000
1,5,35.0,поёни корвон,12.02.2022 14:22,200000
3,14,78.0,Испечак 2,12.02.2022 14:00,470000
1,4,55.0,Фирдавси,12.02.2022 13:48,282150
4,1,85.0,Сино,12.02.2022 13:47,550000
2,12,45.0,нохияи Шохмансур напротив гостиница Hilton,12.02.2022 13:37,567000
4,6,120.0,Фирдавси Театри Ҷавонон,12.02.2022 13:19,730000
3,8,98.0,Молодёжный,12.02.2022 12:50,418000
2,7,42.0,Н. Сино маҳаллаи Навбаҳор ( Тоҷирон),12.02.2022 12:49,220000
2,1,46.0,Фирдавси 61 мкр,12.02.2022 12:36,380000
2,1,50,,12.02.2022 12:28,250000
1,4,42.0,Зарнисор,12.02.2022 12:03,235000
3,4,65.0,Н.Сино,12.02.2022 11:58,600000
1,12,59.0,Шохмансур,12.02.2022 11:56,400000
2,1,50,,12.02.2022 11:52,390
1,1,22.0,Фирдавси,12.02.2022 11:31,80000
2,11,71.0,Шохмансур,12.02.2022 11:15,540000
2,12,45.0,Нохия Шохмансур напротив гостиница Hilton,12.02.2022 11:10,565000
2,18,101.0,Дом Печать,12.02.2022 10:42,585000
3,7,86.0,103,12.02.2022 10:25,544000
4,9,160.0,,12.02.2022 10:17,880000
3,9,87.0,,12.02.2022 09:50,460000
4,3,95.0,зарафшон,12.02.2022 09:03,500000
4,12,200.0,Исмоили Сомони,12.02.2022 08:29,2034000
2,15,84.0,92мкр,12.02.2022 07:38,362292
1,2,36.0,Cино,12.02.2022 06:55,300000
2,14,88.0,И. Сомони,12.02.2022 05:41,585000
1,4,28.0,Шохмансур,12.02.2022 04:00,320000
2,3,49.0,Фирдавси,12.02.2022 03:45,220000
1,3,38.0,Фирдавси,12.02.2022 03:41,165000
3,2,60.0,Фирдавси,12.02.2022 03:34,255000
1,4,30.0,,12.02.2022 01:06,285000
2,5,56.0,Сино,12.02.2022 00:38,275000
2,1,47.0,Шохмансур,11.02.2022 23:49,350000
2,7,82.0,Зарафшон,11.02.2022 23:46,228000
2,13,68.0,,11.02.2022 23:39,795000
2,15,80.0,Сино,11.02.2022 23:13,270000
1,2,34.0,7 км,11.02.2022 23:10,260000
1,13,56.0,поворот аэропорт,11.02.2022 22:40,320000
2,1,58.0,н Сино,11.02.2022 21:45,390000
1,2,50,,11.02.2022 21:09,150000
2,9,60.0,Сино,11.02.2022 20:39,431000
6,2,210.0,Сино,11.02.2022 20:32,2360000
2,7,50.0,Центр,11.02.2022 20:16,379999
3,9,137.0,Шохмансур,11.02.2022 20:10,588000
3,11,79.0,Душанбе,11.02.2022 20:06,48000
2,9,60.0,Сино,11.02.2022 20:03,460000
3,1,65.0,СИНО,11.02.2022 19:46,520000
1,3,35.0,Фирдавси,11.02.2022 19:03,265100
3,1,50.0,Бозори кушониён,11.02.2022 19:02,300000
3,7,135.0,Мехргон,11.02.2022 18:48,1139999
1,10,60.0,33 мкр,11.02.2022 18:39,450000
2,14,79.0,Автовокзал,11.02.2022 18:30,358000
3,13,102.0,Исмоили Сомони Парк Айни,11.02.2022 17:22,695000
2,3,58.0,Фирдавси,11.02.2022 17:08,570000
1,10,57.0,Яккачинор,11.02.2022 16:47,264400
2,1,36.0,,11.02.2022 16:22,339000
2,3,57.0,Испечак,11.02.2022 16:14,470000
2,7,76.0,82 мкр,11.02.2022 16:13,440000
4,9,105.0,Зарафшон,11.02.2022 15:45,545000
3,10,110.0,Роддом 2,11.02.2022 15:37,870000
3,12,103.0,И. Сомони,11.02.2022 15:37,643000
1,2,54.0,Исмоили Сомони,11.02.2022 15:31,335000
3,6,109.0,Исмоили Сомони,11.02.2022 14:56,865000
3,6,80.0,,11.02.2022 14:55,550000
1,13,57.0,Парк спартак,11.02.2022 14:51,318000
2,5,50.0,Испечак,11.02.2022 14:30,400000
5,3,165.0,Ориентир Бизнес Центр SAS,11.02.2022 14:23,1328250
4,1,54.0,И.Сомони,11.02.2022 14:23,290000
2,16,73.0,Ориентир Ватан,11.02.2022 14:20,434860
3,12,129.0,Ориентир Бизнес Центр SAS,11.02.2022 14:19,838180
4,9,141.0,Ориентир Бизнес Центр SAS,11.02.2022 14:16,989120
3,10,97.0,Ориентир Напротив Ватана,11.02.2022 14:15,663720
5,8,125.0,Ориентир Налоговая Шохмансур,11.02.2022 14:14,898500
5,5,137.0,Ориентир Налоговая Шохмансура,11.02.2022 14:11,1055580
3,11,113.0,Ориентир Налоговая Шохмансура,11.02.2022 14:08,753710
3,3,70.0,Профсоюз,11.02.2022 14:06,796000
5,6,123.0,Ориентир Бизнес Центр SAS,11.02.2022 14:05,926560
2,7,109.0,Ориентир Напротив Ватана,11.02.2022 14:04,807250
5,4,151.0,Ориентир Напротив Ватан,11.02.2022 14:03,1189570
4,0,70.0,Исмоили Сомони,11.02.2022 14:02,280000
2,14,131.0,Ориентир Налоговая Шохмансур,11.02.2022 14:00,806040
1,17,55.0,Ориентир Налоговая Шохмансура,11.02.2022 13:57,324650
2,15,87.0,Ориентир Бизнес Центр SAS,11.02.2022 13:55,532270
6,17,142.0,Ориентир Торгово - Жилой Комплекс Ватан,11.02.2022 13:53,979800
5,16,163.0,Ориентир Суди Иктисодии Душанбе,11.02.2022 13:51,1124700
5,7,164.0,Ориентир Суди Иктисодии Душанбе,11.02.2022 13:49,1207040
2,7,51.0,гранд отель,11.02.2022 13:48,613000
2,14,74.0,ориентир новый офис Точиксодиротбанка,11.02.2022 13:46,510600
4,8,125.0,Ориентир Налоговая Шохмансура,11.02.2022 13:41,898500
2,14,101.0,Ориентир Налоговая Шохмансура,11.02.2022 13:38,634179
3,1,55.0,,11.02.2022 13:26,542000
3,12,108.0,Сино,11.02.2022 13:24,828000
2,9,50.0,84 мкр,11.02.2022 13:09,460000
5,4,96.0,Сино,11.02.2022 12:54,790000
3,13,50,,11.02.2022 12:33,515000
3,10,120.0,И. Сомони,11.02.2022 12:20,700000
5,6,153.0,Ориентир Бизнес Центр SAS,11.02.2022 12:00,1152549
2,11,83.0,Ориентир Налоговая Шохмансура,11.02.2022 11:58,561246
2,5,77.0,Ориентир налоговая Шохмансура,11.02.2022 11:57,595056
5,4,121.0,Ориентир Напротив Ватана,11.02.2022 11:56,953238
5,7,139.0,Ориентир Ватан,11.02.2022 11:54,1023040
2,10,97.0,Ориентир Напротив Ватана,11.02.2022 11:51,671531
1,16,62.0,Ориентир Напротив Ватан,11.02.2022 11:50,375550
5,17,149.0,Ориентир Налоговая Шохмансура,11.02.2022 11:49,839615
2,12,69.0,Ориентир Бизнес Центр SAS,11.02.2022 11:47,455469
1,15,69.0,Ориентир Бизнес Центр SAS,11.02.2022 11:46,428536
4,9,111.0,Ориентир Бизнес Центр SAS,11.02.2022 11:45,778665
6,17,203.0,ориентир Душанбинское УВД,11.02.2022 11:43,1400700
6,4,155.0,Ориентир Кафе Сорбон,11.02.2022 11:41,1247750
6,17,194.0,ориентир Клиника Мадад,11.02.2022 11:38,1338600
6,18,140.0,Ориентир бывший Бизнес Центр SAS,11.02.2022 11:36,966000
6,18,140.0,Ориентир бывший Бизнес Центр SAS,11.02.2022 11:33,966000
5,17,158.0,Ориентир Душанбинское УВД,11.02.2022 11:31,1090200
2,8,50.0,Хитой бозор,11.02.2022 11:29,226000
4,13,104.0,Ориентир Душанбинский Экономический Суд,11.02.2022 11:28,669760
4,16,135.0,Ориентир Суди Иктисодии Душанбе,11.02.2022 11:27,931500
2,4,59.0,Сино,11.02.2022 11:25,170000
3,14,129.0,Ориентир Бывший Магазин Камолот,11.02.2022 11:24,890100
2,1,50.0,Фирдавси,11.02.2022 11:24,230000
2,15,73.0,Ориентир Напротив Налоговой Шохмансура,11.02.2022 11:22,503700
2,15,74.0,Ориентир налоговой Шохмансур,11.02.2022 11:20,510600
2,10,71.0,1-й проезд улица Академиков Раджабовых,11.02.2022 11:19,481735
1,16,52.0,ориентир гостиница Душанбе,11.02.2022 11:17,358800
2,3,75.0,Ориентир Бизнес Центр SAS,11.02.2022 11:15,603750
6,17,169.0,Ориентир Налоговая Шохмансура,11.02.2022 11:14,1166100
5,12,159.0,Ориентир Бизнес Центр SAS,11.02.2022 11:11,1056873
6,11,193.0,Ориентир Налоговая Шохмансура,11.02.2022 11:08,1287310
6,15,167.0,Ориентир Бизнес Центр SAS,11.02.2022 11:04,988660
4,8,105.0,Ориентир Налоговая Шохмансура,11.02.2022 11:02,754688
1,4,56.0,Ориентир Ватан,11.02.2022 11:00,438478
2,14,71.0,Ориентир Налоговая Шохмансура,11.02.2022 10:59,445809
2,6,93.0,Ориентир Бизнес Центр SAS,11.02.2022 10:58,703731
2,10,67.0,Ориентир напротив Ватана,11.02.2022 10:56,463841
1,3,40.0,Поёни Корвон,11.02.2022 10:55,165000
6,13,195.0,Ориентир Напротив Ватана,11.02.2022 10:54,1233375
1,9,66.0,Ориентир Бизнес Центр SAS,11.02.2022 10:51,468522
1,5,64.0,Ориентир Налоговая Шохмансура,11.02.2022 10:50,492189
6,18,201.0,Ориентир Площадь Победы,11.02.2022 10:49,1386900
6,10,179.0,Ориентир напротив Детского Центра Мадагаскар,11.02.2022 10:46,1214515
6,18,192.0,Ориентир Хукумат Шохмансур,11.02.2022 10:43,1324800
6,14,198.0,Ориентир ТаджикТекстильМаш,11.02.2022 10:40,1366200
5,18,153.0,Ориентир Площадь Победы,11.02.2022 10:37,1055700
5,7,137.0,Ориентир Суди Иктисодии Душанбе,11.02.2022 10:35,1008320
4,17,133.0,Ориентир Душанбинское УВД,11.02.2022 10:30,917700
3,4,95.0,Ориентир Гостиница Душанбе,11.02.2022 10:27,764750
3,15,127.0,Ориентир Новое Турецкое кафе,11.02.2022 10:23,876300
2,16,73.0,Ориентир Гостиница Душанбе,11.02.2022 10:20,503700
2,16,72.0,Ориентир Гостиница Душанбе,11.02.2022 10:16,496800
3,7,139.0,Ориентир Ватан,11.02.2022 10:13,1023040
2,9,111.0,Ориентир Бизнес Центр SAS,11.02.2022 10:11,786324
6,12,179.0,Проспект Айни,11.02.2022 10:09,1189813
2,11,113.0,Ориентир Налоговая Шохмансура,11.02.2022 10:01,764106
6,16,153.0,Ориентир Напротив Ватана,11.02.2022 09:58,888624
6,14,151.0,Ориентир Налоговая Шохмансура,11.02.2022 09:56,929103
6,17,199.0,Ориентир Налоговая Шохмансура,11.02.2022 09:54,1121365
6,13,165.0,ориентир напротив Ватана,11.02.2022 09:52,1043625
2,16,51.0,Поворот Аэропорт,11.02.2022 09:52,465000
4,4,121.0,Ориентир Ватан,11.02.2022 09:50,953233
6,10,117.0,Ориентир Ватан,11.02.2022 09:48,1211204
5,3,135.0,Ориентир Бизнес Центр SAS,11.02.2022 09:43,1086750
3,8,125.0,Ориентир Налоговая Шохмансура,11.02.2022 09:39,898438
6,6,173.0,Ориентир Бизнес Центр SAS,11.02.2022 09:37,1193700
3,8,76.0,Фирдавсӣ,11.02.2022 09:34,587000
6,14,199.0,Ориентир Новый Пайкар,11.02.2022 09:33,1373100
6,14,190.0,проспект Айни,11.02.2022 09:29,1311000
6,10,193.0,Ориентир Сбоку от здания УБОП,11.02.2022 09:25,1309505
6,15,196.0,Ориентир Хадамоти давлатии оташнишонии,11.02.2022 09:23,1352400
5,14,148.0,Ориентир Новый Пайкар,11.02.2022 09:20,1021200
4,18,131.0,Ориентир Площадь Победы,11.02.2022 09:17,903900
1,3,31.0,Корвон,11.02.2022 09:16,195000
4,7,139.0,Ориентир Душанбинское УВД,11.02.2022 09:14,1023040
3,16,125.0,улица Академиков Раджабовых,11.02.2022 09:11,862500
2,4,85.0,Ориентир Торгово - Жилой Комплекс Ватан,11.02.2022 09:09,684250
2,2,38.0,Фирдавси,11.02.2022 08:48,437000
3,4,67.0,Фирдавси,11.02.2022 07:40,455000
2,9,75.0,Молодёжный театр,11.02.2022 01:47,470000
3,2,64.0,Зарафшон 24,10.02.2022 23:55,550000
1,3,50,,10.02.2022 23:28,190000
1,1,30.0,Дусти,10.02.2022 23:23,308000
2,4,38.0,112мкр,10.02.2022 23:21,350000
2,14,55.0,91 мкр,10.02.2022 23:03,305100
3,9,76.0,Гипрозем,10.02.2022 22:57,335000
5,3,100.0,Сино,10.02.2022 22:51,866400
2,4,52.0,Пайкар,10.02.2022 22:35,310000
4,7,100.0,102мкр,10.02.2022 22:31,581400
2,6,48.0,Сино,10.02.2022 22:18,400000
2,11,80.0,Шохмансур,10.02.2022 22:13,610000
3,7,80.0,91 мкр,10.02.2022 21:47,737000
4,7,96.0,Саховат,10.02.2022 21:39,1017325
2,14,49.0,Сино,10.02.2022 21:35,370000
2,2,72.0,Рудаки кучаи мавч радиё станция,10.02.2022 21:34,200000
3,15,77.0,Советский,10.02.2022 21:32,439000
1,8,37.0,46 мкр,10.02.2022 21:29,330000
2,2,48.0,Фирдавси,10.02.2022 21:13,220000
3,3,74.0,Шохмансур,10.02.2022 20:35,795000
4,4,68.0,Фирдауси,10.02.2022 20:30,500000
2,8,56.0,Сино гипрозем Навбахар 2,10.02.2022 20:00,330000
2,6,47.0,Гипрозем,10.02.2022 19:59,320000
4,2,86.0,82 мкр,10.02.2022 19:57,704905
2,7,66.0,И Сомони,10.02.2022 19:54,325000
2,6,48.0,102 мкр,10.02.2022 19:44,380000
3,1,79.0,91мкр,10.02.2022 19:01,599000
1,3,28.0,Рахмон Набиев,10.02.2022 18:54,320000
2,9,54.0,Сино 1,10.02.2022 18:37,290000
2,3,78.0,92 мкр,10.02.2022 18:04,490000
1,6,46.0,район Сино,10.02.2022 17:45,415200
1,9,41.0,Гипрозем,10.02.2022 17:25,186960
2,17,72.0,Ориентир Торгово - Жилой Комплекс Ватан,10.02.2022 17:08,496800
1,18,50.0,ориентир бывший Бизнес Центр SAS,10.02.2022 17:07,345000
3,3,73.0,33 мкр,10.02.2022 17:06,680000
6,10,147.0,Ориентир Ватан,10.02.2022 17:05,997395
4,6,123.0,Ориентир Бизнес Центр SAS,10.02.2022 17:03,926559
2,3,135.0,Ориентир Бизнес Центр SAS,10.02.2022 17:02,1086750
1,12,60.0,Ориентир Бизнес Центр SAS,10.02.2022 16:59,400200
5,15,147.0,Ориентир Бизнес Центр SAS,10.02.2022 16:58,879060
3,9,123.0,Ориентир Бизнес Центр SAS,10.02.2022 16:56,926498
4,7,139.0,Ориентир Ватан,10.02.2022 16:55,1023040
5,17,179.0,Ориентир Налоговая Шохмансура,10.02.2022 16:52,1008665
1,13,53.0,Ориентир Ватан,10.02.2022 16:50,344138
3,5,137.0,Ориентир Налоговый Шохмансур,10.02.2022 16:48,1055585
3,3,125.0,Сино 2,10.02.2022 16:46,1085000
1,11,67.0,Ориентир Налоговая Шохмансура,10.02.2022 16:46,458850
2,6,75.0,Фирдавси,10.02.2022 16:45,460000
2,4,91.0,Ориентир Ватан,10.02.2022 16:45,717899
1,3,39.0,Фирдавси,10.02.2022 16:44,220000
1,14,61.0,Ориентир Налоговая Шохмансура,10.02.2022 16:43,382663
3,8,95.0,Ориентир Налоговая Шохмансура,10.02.2022 16:41,682813
1,16,47.0,Ориентир Напротив Ватана,10.02.2022 16:37,283952
6,15,197.0,Ориентир Наппротив Минтранса,10.02.2022 16:35,1359300
6,15,188.0,Ориентир Управление Противопожарной Службы,10.02.2022 16:31,1297200
6,16,194.0,Ориентир Душанбинский Экономический Суд,10.02.2022 16:24,1338600
2,1,60.0,Шохмансур,10.02.2022 16:20,650000
5,13,119.0,Ориентир Хадамоти давлатии оташнишони,10.02.2022 16:20,766360
5,15,143.0,Напротив Минтранса,10.02.2022 16:17,986700
4,14,129.0,Ориентир Новый Пайкар,10.02.2022 16:15,890100
3,17,123.0,Ориентир Клиника Мадад,10.02.2022 16:11,848700
3,10,86.0,Ориентир новое турецкое кафе,10.02.2022 16:09,583510
2,18,70.0,Ориентир бывший Бизнес Центр SAS,10.02.2022 16:07,483000
3,13,109.0,Фирдавси,10.02.2022 16:03,520000
2,18,71.0,Ориентир бывший Бизнес Центр SAS,10.02.2022 16:02,489900
1,14,79.0,Ориентир Таджик Текстиль,10.02.2022 16:00,545100
1,7,53.0,Ориентир Напротив Минтранса,10.02.2022 15:58,390080
5,16,163.0,Ориентир Напротив Ватана,10.02.2022 15:57,955995
4,15,147.0,Ориентир Бизнес Центр SAS,10.02.2022 15:52,879060
6,11,163.0,Ориентир Налоговая Шохмансура,10.02.2022 15:48,1087210
2,8,95.0,Ориентир Налоговая Шохмансура,10.02.2022 15:45,688275
4,4,101.0,Ориентир Напротив Ватана,10.02.2022 15:44,795628
3,1,56.0,Сино,10.02.2022 15:44,450000
5,14,161.0,ориентир Налоговая Шохмансура,10.02.2022 15:42,990553
5,13,175.0,ориентир напротив Ватана,10.02.2022 15:39,1106875
3,1,90.0,101 мкр,10.02.2022 15:39,500000
2,5,107.0,Ориентир Налоговая Шохмансура,10.02.2022 15:35,826896
4,6,103.0,Ориентир Бизнес Центр SAS,10.02.2022 15:32,775848
6,12,149.0,Ориентир Бизнес Центр SAS,10.02.2022 15:30,968128
2,9,81.0,Ориентир Бизнес Центр SAS,10.02.2022 15:27,577530
1,1,50,,10.02.2022 15:26,290000
4,3,115.0,Ориентир Бизнес Центр SAS,10.02.2022 15:22,925750
1,10,59.0,Ориентир Напротив Ватан,10.02.2022 15:21,409705
2,1,107.0,Сино,10.02.2022 15:20,450000
6,0,195.0,Ориентир кафе сорбон,10.02.2022 15:19,1345500
6,16,186.0,Ориентир Суди Иктисодии Душанбе,10.02.2022 15:15,1283400
6,10,159.0,Ориентир Сбоку от здания УБОП,10.02.2022 15:10,1078815
6,17,192.0,Ориентир Раёсати Корхои Дохилии Шахр,10.02.2022 15:04,1324800
2,1,63.0,112 мкр,10.02.2022 14:53,452000
5,16,138.0,Ориентир Кафе Сорбон,10.02.2022 14:51,952200
2,4,44.0,,10.02.2022 14:50,370000
1,3,43.0,И Сомони,10.02.2022 14:33,280000
4,7,117.0,ориентир Душанбинское УВД,10.02.2022 14:25,861120
4,7,117.0,Ориентир Душанбинское УВД,10.02.2022 14:19,861120
3,18,121.0,Ориентир Хукумат Шохмансур,10.02.2022 14:15,834900
2,14,100.0,ориентир ТаджикТекстильМаш,10.02.2022 13:56,690000
2,4,75.0,Ориентир Торгово-Жилой Комплекс Ватан,10.02.2022 13:53,603750
1,15,78.0,Ориентир Хадамоти давлатии оташнишони,10.02.2022 13:48,538200
3,5,50,,10.02.2022 13:33,455000
1,12,67.0,Шохмансур,10.02.2022 13:33,380000
1,4,50,,10.02.2022 13:33,435000
2,2,44.0,Фирдавси,10.02.2022 13:28,350000
3,1,61.0,Фирдавси,10.02.2022 13:28,485000
2,11,72.0,Садбарг,10.02.2022 13:16,799999
4,16,131.0,,10.02.2022 13:10,679000
3,4,50,,10.02.2022 13:02,1000000
1,4,32.0,фирдавси корвон гравзавод,10.02.2022 13:01,170000
1,8,44.0,,10.02.2022 12:57,315000
3,11,118.0,82 мир,10.02.2022 12:55,550000
4,4,75.0,Шарора,10.02.2022 12:45,320000
2,1,48.0,,10.02.2022 12:29,245000
2,6,58.0,Гипрозем,10.02.2022 12:05,350000
2,3,49.0,Фирдавси,10.02.2022 11:46,215000
3,9,56.0,Сино,10.02.2022 11:42,400000
2,16,78.0,Шохмансур,10.02.2022 11:40,350000
3,8,80.0,101 мкр,10.02.2022 11:28,500000
1,12,48.0,Ориентир бывший ГАИ Душанбе,10.02.2022 11:21,357120
1,7,44.0,Сино,10.02.2022 11:19,200600
2,11,52.0,Шохмансур,10.02.2022 11:19,266000
2,9,75.0,Молодёжный,10.02.2022 11:17,326000
2,9,44.0,Сино,10.02.2022 11:15,250000
2,1,50,,10.02.2022 10:57,441480
5,8,85.0,аэрапорт,10.02.2022 10:53,600000
1,2,36.0,Сино,10.02.2022 10:53,184700
1,4,45.0,Сино,10.02.2022 10:52,230800
5,6,186.0,Караболо,10.02.2022 10:39,1980000
4,1,80.0,92мкр,10.02.2022 10:39,735000
1,2,42.0,Хитой бозор,10.02.2022 10:28,220000
2,4,47.0,Сино -2,10.02.2022 10:18,480000
3,2,107.0,Сино,10.02.2022 09:46,670000
3,4,54.0,,10.02.2022 09:23,440000
2,3,44.0,46 мкр,10.02.2022 09:13,369000
3,2,63.0,Сино-2,10.02.2022 09:08,600000
2,1,42.0,ул. Маяковского,10.02.2022 08:15,370000
1,2,33.0,Исмоили Сомони,10.02.2022 01:07,290000
4,1,70.0,91 мкр,10.02.2022 00:29,570000
3,4,50,,10.02.2022 00:26,787000
2,16,60.0,Зарнисор,10.02.2022 00:12,160000
1,18,80.0,Ориентир театр оперы и балета,09.02.2022 23:39,430000
2,2,50,,09.02.2022 23:35,440000
1,8,50.0,Шохмансур,09.02.2022 23:28,220000
2,5,83.0,,09.02.2022 23:12,587000
2,11,109.0,И.Сомони,09.02.2022 22:45,678000
2,8,85.0,Сино,09.02.2022 22:44,485000
4,5,140.0,104 мкр,09.02.2022 22:34,1150000
1,6,36.0,Сино,09.02.2022 22:03,300000
2,8,81.0,И Сомони 8 март,09.02.2022 22:01,850000
3,2,68.0,Рудаки,09.02.2022 21:59,330000
1,3,32.0,Цирк,09.02.2022 21:28,308000
2,14,55.0,Фирдавси,09.02.2022 21:20,455000
5,4,90.0,Зарафшон 1,09.02.2022 21:17,660000
2,3,50,,09.02.2022 20:32,375000
2,6,42.0,Фирдавси,09.02.2022 20:18,420000
2,8,64.0,Садбарг,09.02.2022 19:56,450000
3,1,50,,09.02.2022 19:26,550000
2,2,44.0,112 мкр Гисарская 77,09.02.2022 19:11,450000
2,2,50.0,91 мкр,09.02.2022 18:51,480000
2,16,69.0,Фирдавси,09.02.2022 18:41,275000
1,4,41.0,Зарнисор,09.02.2022 18:31,290000
1,1,30.0,,09.02.2022 18:28,135000
3,4,74.0,84 мкр,09.02.2022 18:22,907000
2,1,50,,09.02.2022 18:16,374000
4,1,80.0,Сино,09.02.2022 18:09,700000
2,2,58.0,91 мкр,09.02.2022 18:07,550000
3,4,56.0,Фирдавси,09.02.2022 17:58,480000
2,2,56.0,Сино,09.02.2022 17:58,420000
3,1,90.0,н. Фирдавси дех дарёбод,09.02.2022 17:56,250000
3,1,64.0,Шохмансур,09.02.2022 17:51,1000000
4,4,50,,09.02.2022 17:41,542000
2,7,65.0,Шомансур,09.02.2022 17:38,270000
2,11,60.0,Испечак 2,09.02.2022 17:25,237300
2,6,60.0,Сино,09.02.2022 16:55,360000
3,7,121.0,Исмоили Сомони,09.02.2022 16:33,1040000
4,5,100.0,Сино,09.02.2022 16:27,845000
2,1,40.0,Корвон,09.02.2022 16:18,230000
3,10,103.0,Дом печать,09.02.2022 16:14,830000
1,2,30.0,Фирдавси,09.02.2022 15:59,155000
4,2,76.0,Сино,09.02.2022 15:57,560000
3,4,120.0,Шохмансур,09.02.2022 15:43,1400000
2,4,50.0,46мкр,09.02.2022 15:43,395000
2,7,72.0,Испечак,09.02.2022 15:30,360000
2,4,64.0,Сино Зарафшон,09.02.2022 15:07,427500
2,6,60.0,Фирдавси,09.02.2022 14:58,500000
5,4,50,,09.02.2022 14:26,847359
2,1,54.0,Испечак 2,09.02.2022 14:24,440500
3,1,77.0,Фирдавси,09.02.2022 14:13,570000
2,9,53.0,83 мкр (автовокзал),09.02.2022 13:40,385000
1,10,50,,09.02.2022 13:30,384000
3,5,50,,09.02.2022 13:18,810000
2,3,93.0,Шохмансур,09.02.2022 12:56,795000
3,12,80.0,92 мкр,09.02.2022 12:43,718000
3,9,78.0,Сино 2,09.02.2022 12:33,390000
3,5,50,,09.02.2022 12:33,590000
3,2,45.0,Автовокзал,09.02.2022 12:27,400000
2,5,69.0,Сино,09.02.2022 12:19,420000
2,2,55.0,Сино,09.02.2022 12:08,300000
2,3,42.0,Сино,09.02.2022 12:01,320000
6,10,210.0,Ориентир Ателье Зайнаб-биби,09.02.2022 11:46,1486800
3,4,55.0,Сино,09.02.2022 11:46,410000
6,12,190.0,Ориентир Факультет Биологии ТГНУ,09.02.2022 11:45,1413600
6,14,170.0,Ориентир Минобразование,09.02.2022 11:44,1224000
6,4,150.0,Ориентир Ателье Зайнаб-биби,09.02.2022 11:43,1260000
2,11,86.0,Ориентир улица Дехлави,09.02.2022 11:41,598560
2,13,76.0,Ориентир Институт Изобразительного Искусства,09.02.2022 11:39,556320
2,15,66.0,Ориентир Штаб Програнвойск России,09.02.2022 11:37,467280
5,5,56.0,улица Дехлави,09.02.2022 11:36,463680
6,9,228.0,Ориентир улица Ниссор Мухаммад,09.02.2022 11:33,1641600
1,10,47.0,Яккачинор,09.02.2022 11:32,241000
6,11,208.0,Ориентир Комплекс Ромиз Плаза,09.02.2022 11:31,1572480
6,13,188.0,Ориентир Школа № 65,09.02.2022 11:28,1376160
2,10,112.0,Профсоюз,09.02.2022 11:27,497000
5,11,141.0,Ориентир улица Дехлави,09.02.2022 11:25,981360
5,13,131.0,,09.02.2022 11:21,958920
5,15,121.0,Ориентир Штаб Програнвойск России,09.02.2022 11:17,856680
5,5,111.0,улица Дехлави,09.02.2022 11:15,919080
3,10,130.0,Ориентир Ателье Зайнаб-биби,09.02.2022 11:13,920400
3,12,110.0,Ориентир Факультет Биологии ТГНУ,09.02.2022 11:10,818400
3,14,90.0,Ориентир Минобразование,09.02.2022 11:09,648000
3,4,70.0,Ориентир Ателье Зайнаб-биби,09.02.2022 11:08,588000
2,2,61.0,Балх,09.02.2022 11:02,567500
2,3,40.0,Сино,09.02.2022 11:01,290000
3,10,50,,09.02.2022 10:59,500000
2,3,56.0,Сино,09.02.2022 10:53,287280
2,10,96.0,Исмоили Сомони,09.02.2022 10:42,763000
2,2,93.0,Сино,09.02.2022 10:33,477000
2,5,50,,09.02.2022 10:31,700000
2,2,71.0,Сино,09.02.2022 10:31,364230
6,5,132.0,улица Дехлави,09.02.2022 10:27,1092960
2,4,76.0,92 мкр-Гулдаста,09.02.2022 10:25,650000
3,14,112.0,Фирдавси,09.02.2022 10:17,660000
6,9,208.0,Ориентир улица Ниссор Мухаммад,09.02.2022 09:51,1497600
2,12,75.0,Ориентир Факультет Биологии ТГНУ,09.02.2022 09:36,558000
6,8,226.0,Шохмансур,09.02.2022 09:33,1654320
3,4,50.0,Сино,09.02.2022 09:29,365000
6,10,206.0,Ориентир Магазин Олами Китоб,09.02.2022 09:28,1582080
6,12,186.0,Ориентир бывший ГАИ Душанбе,09.02.2022 09:26,1383840
5,10,140.0,Ателье Зайнаб-биби,09.02.2022 09:19,991200
5,12,130.0,Ориентир Факультет Биологии ТГНУ,09.02.2022 09:17,967200
